386:	2402 3050 
387:	57 
388:	57 2668 
389:	3175 
390:	1044 3651 
391:	3175 3651 
392:	2669 
393:	2669 3297 
394:	3175 3297 
395:	57 2669 
396:	37 642 
397:	642 3651 
398:	642 3297 
399:	3547 
400:	585 1650 
401:	1650 3547 
402:	3299 
403:	2453 3299 
404:	2515 
405:	2515 3299 
406:	2913 3547 
407:	2515 2913 
408:	1650 3301 
409:	571 3301 
410:	2913 3301 
411:	2567 
412:	2562 2567 
413:	1 
414:	2917 3641 
415:	1 2917 
416:	3687 
417:	1 3687 
418:	2567 3687 
419:	2485 2917 
420:	1700 
421:	2025 3322 
422:	1700 2025 
423:	1963 
424:	1572 2514 
425:	1572 1963 
426:	2299 
427:	2299 3678 
428:	1963 3678 
429:	1700 2299 
430:	2025 2204 
431:	1572 2204 
432:	2204 3678 
433:	1624 
434:	404 3319 
435:	1624 3319 
436:	2079 
437:	2079 2967 
438:	321 1624 
439:	321 2079 
440:	1022 1589 
441:	1022 1673 
442:	1682 3319 
443:	1022 1682 
444:	321 1682 
445:	1192 
446:	1192 1911 
447:	3527 
448:	626 824 
449:	824 3527 
450:	2589 
451:	2589 3527 
452:	1192 2589 
453:	824 1028 
454:	2028 
455:	1295 2024 
456:	2024 2028 
457:	3281 
458:	1595 3281 
459:	1203 
460:	1203 3281 
461:	1203 2028 
462:	1632 2024 
463:	1235 
464:	1235 3279 
465:	789 
466:	817 2564 
467:	789 2564 
468:	958 
469:	789 958 
470:	958 1235 
471:	2564 3526 
472:	1336 
473:	684 2516 
474:	684 1336 
475:	3627 
476:	414 2634 
477:	2634 3627 
478:	2635 
479:	2635 3627 
480:	1336 2635 
481:	684 2634 
482:	140 
483:	1264 1864 
484:	140 1864 
485:	1288 
486:	358 362 
487:	358 1288 
488:	788 
489:	788 1288 
490:	140 1890 
491:	788 1890 
492:	1218 2110 
493:	745 1864 
494:	745 2110 
495:	358 2110 
496:	745 1890 
497:	25 
498:	351 1966 
499:	25 1966 
500:	3246 
501:	2627 3243 
502:	3243 3246 
503:	693 
504:	2029 3246 
505:	693 2029 
506:	25 628 
507:	628 693 
508:	251 2122 
509:	1966 2122 
510:	3243 3244 
511:	2122 3244 
512:	3244 3247 
513:	2029 3247 
514:	628 3247 
515:	1900 
516:	1900 2938 
517:	664 
518:	664 2274 
519:	899 
520:	664 1892 
521:	899 1892 
522:	899 1900 
523:	652 1959 
524:	982 1959 
525:	1892 1959 
526:	444 
527:	432 1908 
528:	444 1908 
529:	2414 
530:	2414 3313 
531:	1243 
532:	1243 2414 
533:	443 444 
534:	443 1243 
535:	1908 2661 
536:	1723 2661 
537:	443 2661 
538:	513 
539:	513 1914 
540:	2533 
541:	1618 3590 
542:	1618 2533 
543:	2577 
544:	2533 2577 
545:	513 2577 
546:	1618 3287 
547:	1381 
548:	527 2470 
549:	1381 2470 
550:	740 
551:	682 1318 
552:	682 740 
553:	2476 
554:	1056 2476 
555:	740 1056 
556:	1381 2476 
557:	1108 2470 
558:	682 1108 
559:	1056 1108 
560:	1043 
561:	2056 2078 
562:	1910 2078 
563:	1043 1910 
564:	792 
565:	1192 1635 
566:	792 1635 
567:	792 1043 
568:	1923 2078 
569:	1635 1910 
570:	861 
571:	861 1974 
572:	861 1112 
573:	1103 2612 
574:	1701 
575:	2017 2052 
576:	1701 2017 
577:	345 1701 
578:	2311 3607 
579:	2060 3607 
580:	2017 3607 
581:	459 
582:	353 1816 
583:	459 1816 
584:	459 3692 
585:	1113 2255 
586:	814 2138 
587:	1113 2138 
588:	1113 1387 
589:	1801 2138 
590:	1801 1816 
591:	139 1801 
592:	30 
593:	30 1613 
594:	30 643 
595:	2518 3563 
596:	437 2518 
597:	451 2518 
598:	473 
599:	473 2907 
600:	88 473 
601:	435 456 
602:	703 
603:	703 3159 
604:	57 703 
605:	1114 2445 
606:	1177 
607:	1177 3175 
608:	1177 3547 
609:	2616 3296 
610:	3296 3651 
611:	1650 3296 
612:	2614 
613:	2614 3299 
614:	2229 2614 
615:	2229 2567 
616:	2560 3271 
617:	1058 2560 
618:	2229 2560 
619:	1547 
620:	1547 1573 
621:	1 1573 
622:	1547 1700 
623:	99 1575 
624:	99 2912 
625:	2912 2917 
626:	99 2025 
627:	1573 2912 
628:	1126 
629:	1126 1963 
630:	1126 1624 
631:	1975 2200 
632:	1572 1975 
633:	1975 3319 
634:	2583 
635:	2583 2624 
636:	2028 2624 
637:	2220 3527 
638:	2220 2583 
639:	1837 2873 
640:	824 1881 
641:	1881 2873 
642:	2024 2873 
643:	2220 3354 
644:	1881 3354 
645:	2624 3354 
646:	1198 
647:	1062 3281 
648:	1062 1198 
649:	1235 1261 
650:	1198 1261 
651:	224 2706 
652:	953 2706 
653:	1636 2706 
654:	1261 1636 
655:	1062 1636 
656:	797 
657:	789 2636 
658:	797 2636 
659:	786 1336 
660:	786 797 
661:	1969 2513 
662:	109 2564 
663:	109 1969 
664:	684 1969 
665:	109 3525 
666:	2636 3525 
667:	786 3525 
668:	3227 
669:	3227 3627 
670:	140 3227 
671:	905 2221 
672:	905 2634 
673:	905 1864 
674:	3258 
675:	1288 3258 
676:	25 3258 
677:	358 1966 
678:	985 
679:	985 3246 
680:	985 1900 
681:	3202 3243 
682:	637 
683:	637 664 
684:	444 637 
685:	1882 1908 
686:	3742 
687:	2414 3742 
688:	513 522 
689:	522 3742 
690:	1273 3311 
691:	2932 3311 
692:	522 3311 
693:	1605 
694:	690 2533 
695:	690 1605 
696:	1381 1605 
697:	2526 3584 
698:	1316 1618 
699:	1316 3584 
700:	2470 3584 
701:	690 1316 
702:	481 
703:	481 740 
704:	481 1043 
705:	1319 1898 
706:	872 1898 
707:	682 872 
708:	1898 2078 
709:	872 1910 
710:	1394 
711:	1331 1394 
712:	1426 
713:	530 861 
714:	530 1426 
715:	3665 
716:	1426 3665 
717:	778 1394 
718:	778 3665 
719:	530 778 
720:	1850 
721:	648 1489 
722:	648 1850 
723:	1333 
724:	459 1333 
725:	3329 
726:	1798 3329 
727:	1333 1798 
728:	1850 3329 
729:	359 648 
730:	359 1816 
731:	359 1798 
732:	2252 
733:	179 2252 
734:	883 
735:	860 883 
736:	30 860 
737:	891 
738:	883 891 
739:	891 974 
740:	974 2252 
741:	860 929 
742:	929 974 
743:	178 929 
744:	1527 
745:	101 1527 
746:	101 1847 
747:	1992 
748:	471 1992 
749:	471 473 
750:	612 
751:	612 1527 
752:	612 1992 
753:	101 471 
754:	1566 
755:	350 2686 
756:	1566 2686 
757:	2655 
758:	511 703 
759:	511 2655 
760:	1279 
761:	1279 1566 
762:	2419 2655 
763:	1279 2419 
764:	1267 3050 
765:	1091 1267 
766:	1091 2686 
767:	511 1267 
768:	1091 2419 
769:	2667 
770:	498 2669 
771:	498 2667 
772:	1691 
773:	1177 1522 
774:	1522 1691 
775:	618 
776:	1577 2667 
777:	618 1577 
778:	618 1691 
779:	3297 3381 
780:	498 3381 
781:	3381 3382 
782:	1522 3382 
783:	1577 3382 
784:	1513 
785:	1452 2515 
786:	1452 1513 
787:	3646 
788:	566 2614 
789:	566 3646 
790:	3650 
791:	1513 3650 
792:	3646 3650 
793:	566 1452 
794:	3684 
795:	3684 3685 
796:	3685 3687 
797:	1610 
798:	1547 1610 
799:	1298 
800:	1298 3684 
801:	348 1610 
802:	348 1298 
803:	348 747 
804:	747 1573 
805:	747 3685 
806:	3689 
807:	2299 3689 
808:	688 
809:	5 688 
810:	5 1126 
811:	895 
812:	688 895 
813:	895 2698 
814:	2698 3689 
815:	1285 2698 
816:	5 1285 
817:	1285 3678 
818:	2015 
819:	1203 2306 
820:	2015 2306 
821:	2573 
822:	1198 2573 
823:	1999 
824:	1999 2573 
825:	1999 2015 
826:	1062 2306 
827:	1051 
828:	1051 2583 
829:	828 
830:	828 1051 
831:	828 2934 
