446:	21 107 
447:	529 
448:	22 529 
449:	104 442 
450:	529 
451:	74 107 
452:	63 104 
453:	21 74 
454:	540 
455:	23 540 
456:	94 443 
457:	540 
458:	24 93 
459:	540 
460:	75 94 
461:	74 93 
462:	24 74 
463:	539 
464:	25 118 
465:	539 
466:	26 539 
467:	95 445 
468:	539 
469:	76 118 
470:	75 95 
471:	25 76 
472:	541 
473:	27 541 
474:	116 446 
475:	541 
476:	28 541 
477:	96 446 
478:	541 
479:	77 116 
480:	76 96 
481:	76 77 
482:	541 
483:	29 541 
484:	119 447 
485:	561 
486:	30 561 
487:	97 448 
488:	561 
489:	78 119 
490:	77 561 
491:	97 541 
492:	30 561 
493:	77 561 
494:	448 541 
495:	78 447 
496:	119 447 
497:	561 
498:	31 561 
499:	120 448 
500:	543 
501:	32 543 
502:	98 449 
503:	562 
504:	79 562 
505:	120 543 
506:	78 562 
507:	98 561 
508:	31 561 
509:	78 449 
510:	79 561 
511:	448 543 
512:	449 562 
513:	98 561 
514:	120 543 
515:	543 
516:	33 121 
517:	542 
518:	34 99 
519:	543 
520:	80 543 
521:	121 542 
522:	79 99 
523:	34 543 
524:	33 542 
525:	99 450 
526:	542 
527:	35 542 
528:	122 451 
529:	548 
530:	36 100 
531:	548 
532:	81 122 
533:	80 548 
534:	100 542 
535:	80 548 
536:	36 542 
537:	122 451 
538:	535 
539:	37 123 
540:	535 
541:	38 535 
542:	101 453 
543:	535 
544:	82 123 
545:	81 101 
546:	37 82 
547:	557 
548:	39 557 
549:	124 454 
550:	595 
551:	40 595 
552:	102 454 
553:	557 
554:	124 595 
555:	83 557 
556:	82 102 
557:	82 595 
558:	83 557 
559:	102 454 
560:	595 
561:	41 529 
562:	455 595 
563:	125 529 
564:	595 
565:	53 595 
566:	125 529 
567:	83 107 
568:	21 83 
569:	83 107 
570:	497 
571:	42 117 
572:	43 84 
573:	1 43 
574:	568 
575:	44 568 
576:	105 503 
577:	43 103 
578:	4 568 
579:	43 503 
580:	103 422 
581:	513 
582:	44 513 
583:	108 503 
584:	45 85 
585:	6 504 
586:	44 504 
587:	424 503 
588:	45 423 
589:	423 513 
590:	85 504 
591:	45 503 
592:	508 
593:	45 109 
594:	46 86 
595:	7 508 
596:	45 425 
597:	46 424 
598:	510 
599:	46 110 
600:	47 87 
601:	9 47 
602:	519 
603:	47 111 
604:	48 88 
605:	12 47 
606:	520 
607:	48 112 
608:	49 89 
609:	13 520 
610:	48 429 
611:	49 428 
612:	521 
613:	49 113 
614:	90 581 
615:	50 521 
616:	15 581 
617:	16 521 
618:	113 430 
619:	523 
620:	114 581 
621:	50 523 
622:	51 91 
623:	18 523 
624:	432 581 
625:	50 523 
626:	51 431 
627:	91 431 
628:	588 
629:	51 115 
630:	52 92 
631:	19 588 
632:	51 433 
633:	52 432 
634:	537 
635:	104 540 
636:	54 537 
637:	53 537 
638:	94 529 
639:	22 540 
640:	53 540 
641:	443 529 
642:	54 442 
643:	104 540 
644:	442 537 
645:	94 529 
646:	551 
647:	54 551 
648:	118 540 
649:	55 551 
650:	93 539 
651:	25 540 
652:	24 539 
653:	444 551 
654:	118 540 
655:	93 539 
656:	593 
657:	55 593 
658:	116 539 
659:	56 593 
660:	95 541 
661:	27 541 
662:	55 541 
663:	446 539 
664:	56 445 
665:	445 593 
666:	95 541 
667:	116 539 
668:	541 
669:	56 119 
670:	57 96 
671:	28 541 
672:	56 447 
673:	57 446 
674:	561 
675:	57 120 
676:	58 97 
677:	57 58 
678:	543 
679:	58 121 
680:	59 98 
681:	33 58 
682:	542 
683:	59 122 
684:	60 99 
685:	34 60 
686:	548 
687:	60 123 
688:	61 548 
689:	100 535 
690:	37 548 
691:	36 535 
692:	123 452 
693:	557 
694:	61 557 
695:	124 535 
696:	62 101 
697:	39 557 
698:	61 557 
699:	454 535 
700:	62 453 
701:	101 453 
702:	595 
703:	62 125 
704:	63 102 
705:	40 529 
706:	455 595 
707:	62 529 
708:	63 454 
709:	63 454 
710:	497 
711:	42 149 
712:	600 
713:	64 600 
714:	139 497 
715:	600 
716:	117 149 
717:	106 600 
718:	139 497 
719:	117 149 
720:	505 
721:	44 505 
722:	151 503 
723:	513 
724:	66 128 
725:	505 
726:	151 513 
727:	108 505 
728:	103 128 
729:	103 513 
730:	66 505 
731:	128 503 
732:	513 
733:	45 131 
734:	506 
735:	130 508 
736:	67 506 
737:	506 
738:	109 131 
739:	130 513 
740:	108 506 
741:	109 513 
742:	131 508 
743:	45 506 
744:	509 
745:	127 510 
746:	46 509 
747:	509 
748:	157 510 
749:	68 509 
750:	509 
751:	109 157 
752:	110 127 
753:	109 110 
754:	618 
755:	47 618 
756:	132 512 
757:	613 
758:	69 613 
759:	158 519 
760:	618 
761:	110 158 
762:	111 618 
763:	132 613 
764:	47 613 
765:	519 618 
766:	110 613 
767:	111 512 
768:	158 512 
769:	613 
770:	48 613 
771:	133 519 
772:	620 
773:	70 620 
774:	156 520 
775:	620 
776:	111 620 
777:	156 613 
778:	112 133 
779:	48 613 
780:	111 520 
781:	519 620 
782:	112 613 
783:	133 520 
784:	580 
785:	49 580 
786:	134 521 
787:	580 
788:	71 580 
789:	159 521 
790:	580 
791:	112 159 
792:	113 134 
793:	112 113 
794:	579 
795:	135 581 
796:	50 579 
797:	523 
